forest_type,mean_biomass,median_biomass,mean_severity,median_severity,q25_biomass,q75_biomass,var_biomass,skew_biomass,kurt_biomass,p_normality,n_pixels,hex_ID
2,16.166101694915255,9,-2309.6282942432467,-2125.6318359375,3,23.5,281.3362619624121,1.2115424540029738,0.39125221082504164,3.7e-24,295,31
1,28.164810690423163,21,-2358.550760859636,-2338.1865234375,10,48,393.65581251988544,0.4903365557593301,-1.215574772439306,3.7e-24,449,31
3,24.90459363957597,16,-2346.814471457114,-2233.7421875,8,45.5,440.63270932010124,0.5966718702627329,-1.2245761585618165,3.7e-24,283,31
3,49.05882352941177,57,-2139.839928481158,-1936.766357421875,27,69,600.2464985994397,-0.2387247419628202,-1.3181302706805933,1.1398420478599476e-5,85,32
1,35.120240480961925,31,-2162.548899923871,-2068.378662109375,20,47,439.3108143998841,0.7002647625788617,-0.32599712304663964,2.38840959109689e-22,499,32
2,29.376237623762375,23,-2655.779500526957,-2708.9755859375,16,34,389.0970297029703,1.4727451348050715,1.262145986047838,2.401168158274136e-17,101,32
1,22.208333333333332,16,-2367.5545724232993,-2238.0855712890625,11.75,28.25,250.2719298245614,1.0737611248004024,0.3654863996048213,7.964591642590637e-10,96,33
3,17.325581395348838,8,-2306.6083359829213,-2242.420654296875,4,31.5,256.98671096345515,0.9157127898116877,-0.4198882569035153,2.355824678888321e-7,43,33
2,21.406779661016948,17,-2107.6006004204182,-1974.9630126953125,6,35.75,250.39721860060843,0.5753962822752674,-0.9709842698211818,1.297661509790492e-10,118,33
1,32.07692307692308,32,-1975.842059795673,-1981.482177734375,30,36,22.91025641025641,-0.8374326936167439,1.0942786300441532,0.48533989108796644,13,34
3,56.266666666666666,54,-2540.398958333333,-2389.7861328125,34.25,75.5,602.4091954022989,0.6242937750267222,-0.8590444564963373,0.007241790323035779,30,35
1,56.17391304347826,54,-2714.0204848137455,-2609.5625,38,71,401.70675975880675,0.30109016075034645,-0.8491950365500901,0.0016715358182342094,138,35
2,61.529411764705884,63,-3147.8884779986215,-3191.091064453125,50,74,261.6397058823529,-0.44236775013517887,-0.7098890170295511,0.6057375006704085,17,35
1,49.734657039711195,49,-2827.721516633292,-2787.7593994140625,36,64,417.5840770069395,0.1879631049285932,-0.11732473314144315,0.14181998128393689,554,36
3,58.84848484848485,62,-2996.291522401752,-2967.846923828125,36,90,983.3825757575758,-0.2796743118869079,-1.406993942935204,0.0037118519985456684,33,36
2,40.4,37,-3159.176708984375,-3184.642333984375,13,59,1330.8,0.5325498123221366,-0.813138628859214,NA,5,36
